source_ip,source_port,destination_port,honeypot,country
"112.113.136.13",18195,23,"dionaea",
"185.244.25.164",50830,8088,"dionaea",
"146.0.77.66",57397,55500,"dionaea",
"209.97.152.146",56758,8088,"dionaea",
"194.28.115.245",54402,3385,"dionaea",
"142.93.204.158",34271,8088,"dionaea",
"85.184.36.105",6026,81,"dionaea",
"188.166.3.86",40779,8088,"dionaea",
"185.244.25.164",52097,8088,"dionaea",
"205.185.119.229",36798,8088,"dionaea",
"92.53.90.179",47246,5880,"dionaea",
"138.68.65.19",57744,8088,"dionaea",
"138.68.71.163",41657,8088,"dionaea",
"185.244.25.164",42990,8088,"dionaea",
"185.8.50.73",60610,8088,"dionaea",
"74.82.47.4",32928,21,"dionaea",
"27.219.182.64",62992,23,"dionaea",
"119.183.74.121",37896,23,"dionaea",
"201.150.151.82",4576,8080,"dionaea",
"185.8.50.73",38836,8088,"dionaea",
"176.119.7.62",52075,8696,"dionaea",
"80.211.92.62",34753,8088,"dionaea",
"178.62.41.160",33879,8088,"dionaea",
"71.6.146.130",23320,9001,"dionaea",
"68.183.123.55",34712,8088,"dionaea",
"188.166.3.86",58307,8088,"dionaea",
"209.141.35.236",53366,8088,"dionaea",
"209.141.56.95",59814,8088,"dionaea",
"71.193.57.71",39658,81,"dionaea",
"142.93.204.158",54620,8088,"dionaea",
"185.244.25.164",43803,8088,"dionaea",
"37.49.231.120",5433,5060,"dionaea",
"188.246.226.71",51767,6840,"dionaea",
"80.211.11.13",43843,8088,"dionaea",
"209.97.152.146",47966,8088,"dionaea",
"178.62.41.160",59536,8088,"dionaea",
"46.101.199.124",52286,8088,"dionaea",
"185.244.25.164",51965,8088,"dionaea",
"209.141.56.95",58845,8088,"dionaea",
"209.141.35.236",53562,8088,"dionaea",
"178.159.37.102",41487,5050,"dionaea",
"185.8.50.73",42833,8088,"dionaea",
"138.68.71.163",40132,8088,"dionaea",
"176.119.4.27",51192,6331,"dionaea",
"194.28.115.243",47603,3382,"dionaea",
"209.141.35.236",57807,8088,"dionaea",
"95.251.21.91",50015,80,"dionaea",
"68.183.123.55",51926,8088,"dionaea",
"188.166.3.86",59789,8080,"dionaea",
"185.244.25.164",40954,8088,"dionaea",
"209.141.56.95",46739,8088,"dionaea",
"37.191.210.7",47045,23,"dionaea",
"46.101.9.8",56087,8088,"dionaea",
"218.156.38.232",5133,23,"dionaea",
"116.14.69.84",3746,23,"dionaea",
"46.101.208.222",60727,8088,"dionaea",
"208.100.26.228",46867,5432,"dionaea",
"125.64.94.200",41304,1688,"dionaea",
"178.62.41.160",43196,8088,"dionaea",
"142.93.204.158",40278,8088,"dionaea",
"185.244.25.164",46850,8088,"dionaea",
"176.119.7.62",50278,6907,"dionaea",
"80.211.11.13",47379,8088,"dionaea",
"188.166.3.86",37065,8080,"dionaea",
"46.101.9.8",43278,8088,"dionaea",
"46.101.199.124",35206,8088,"dionaea",
